author_id,time_in_seconds,timestamp,badges,video_offset_time_msec,time_text,author,message
UCb6ul-S5dZtb7aAffqkCphw,18,1597516940026575,,18684,0:18,Grilled Cheese,Pog
UCdBvL8_u67lI95Vg-FWy7IA,18,1597516940257429,,18915,0:18,Bloxyen,Dream team
UCgP5qHMm8esFQN7bsRFy-2w,19,1597516940528706,Member (1 month),19186,0:19,Atsi,techno
UCfi0PX3E3p58NkUlIpRC2JQ,19,1597516940694974,,19352,0:19,That_Anime189,ITS STARTING
UC85tcTa-bbLBnV1sS5WbUgA,19,1597516940939836,,19597,0:19,EmeraldStarGaming ',lol
UCFVjBIOeqblEgk968nXetDg,19,1597516941042134,,19779,0:19,Emerald Gaming,Techno support
UCOdyXfVcKNhasPEaFNAznfw,19,1597516941195899,,19933,0:19,Tejas Gupta,LATE
UCQYBVL0bgQRg4MfszHuJEOA,19,1597516941210634,,19947,0:19,Cutie_ Alex,dreamnoblade
UCfXx_KP3KuEZTZLqOT_N8NQ,20,1597516941434101,,20171,0:20,AcleverPassword,Yo
UC3REInt8YERz_cjwtOALlkw,20,1597516942144505,,20881,0:20,Rn1024,YES
UC0TW3KvSWpkhcCl2Umet8Lw,20,1597516942246335,,20983,0:20,Karma,POG
UCP9iGzQTXgMVVeHcH_3OZzg,21,1597516942377348,,21114,0:21,Wouter de Bruin,Ey
UCKozr5CHZf7_HYe2GUy72-A,21,1597516942563961,,21301,0:21,ahmo2op,POG
UCyOm--LkjzTmmez5fVAA9qQ,21,1597516942641892,,21379,0:21,nyhao,POGCHAMP
UCKK3scKSrO-6a-FG9CqrsZQ,21,1597516942686526,,21423,0:21,Hair J,HEY
UCrr9EQRKhLlcaW6k6ID7ZuA,21,1597516942997802,,21735,0:21,taiyxkii,YAYAYAYY
UCWPmce2IeAkl45RxMBjX9Ag,21,1597516943164951,,21878,0:21,David Gervais,​♥️TECHNO SUPPORT♥️
UCZvdtJT8LW6opGOL6tw0uxg,21,1597516943184191,,21897,0:21,1 1,THE DREAM TEAM
UC9WW95vRgjl1wnRClvomWCA,21,1597516943235678,,21949,0:21,Jooponie,POG
UC4G5o3D30jO47R_kekRfGTg,21,1597516943257971,,21971,0:21,bláth,HEY TECHNO
UC_asXAhF-kAnX4VYJK_wNfA,22,1597516943297302,,22011,0:22,Sleeply Gremlin,♥️TECHNO SUPPORT♥️
UCQ70QQ8_uUIrt3fMBraFW_g,22,1597516943419569,,22133,0:22,Frostickle,TECHNO POG
UCg_6QCo1JqNeKipGItfk-aA,22,1597516943462040,,22175,0:22,Marcos Torres,wuuuuuuuuu
UCURgnMlt5mYg1DljsImFivQ,22,1597516943500195,,22213,0:22,incorect63,He’s not even here yet
UCrBuWM7j3d9ZXbvPGL0op3w,22,1597516943736940,,22450,0:22,OlavPlays1,LETS Go
UCNCc2hTT5BUs6ykVkbxbFmw,22,1597516944027307,,22741,0:22,mintygirl84,hallo 🙋
UCKVf3itJe_X_H_JwSpetp4A,22,1597516944067000,,22780,0:22,Benjamin J.,"WE""RE LIVE"
UC-LblYKN2By0fAIwiLOM4qg,23,1597516944319054,,23032,0:23,Abraham Jiang,POG
UCCb_njMl2ffihB9JW8HhTww,23,1597516944415875,,23129,0:23,Vitrex,AYEEE
UCUHXBJcL_a8YQynPP8Ah1vw,23,1597516944446702,,23160,0:23,Grant MacDonald,Poggggg
UCi_rpzMO13j6RW255n2wJ3w,23,1597516944479535,,23193,0:23,LMFAO,streaming starting
UCbwyJMz0vxJai8luW8iveNw,23,1597516944798685,,23512,0:23,Strongest card Ace of spades,POG?
UCl4dzOKcpcseLJq623DV8Ig,23,1597516944800674,,23514,0:23,YaBoiSatya,YO
UCLjmHovsfaNroQk5eKJTmXw,23,1597516944961976,,23675,0:23,Gabi Barenberg,TECHNOO
