author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
Federico Andrés Casado,UC6ODGp-eYnna48ZXjbYYq1w,,Hiii!!!!👋👋,327,5:27,1596107229390545,327427
rekin g.,UC1HHQ2iLROAb4uyy2YXVGFg,,jestem geyem,327,5:27,1596107229727642,327765
Akhil Krishna,UCZ_-G0Yn83xUaCFDLzZqyeA,,happy to hera,328,5:28,1596107229973753,328011
Ucang Satriana,UCzVIB8_xHFTu1WWdIFYmABA,,hello from indonesia,328,5:28,1596107230173437,328210
Jellybeantiger,UC3y1YBRm_XkWp7OhjuX5s-Q,,Have a safe trip Percy.,329,5:29,1596107231319915,329357
Blair Joy Guingguing,UCSOt-z_97zZh7My_CMRVD8Q,,from ph!,329,5:29,1596107231338248,329375
Beyblade mas123,UCU6swf83_Ir4y_78-zveAHg,,From Australia,329,5:29,1596107231406574,329443
Helljumper,UCBXmQJSapEql9J_5mCFos_w,,hello,329,5:29,1596107231482875,329520
bayram guler,UC6JSI6jE6gCWe32Ycn_7vgA,,fırlatın hadi be ya,329,5:29,1596107231490576,329527
JZL ASG,UC8ckrUiNlReT22jsKmeIj8Q,,sooo excited!!!,329,5:29,1596107231742789,329780
Eres,UCe5QAPzJ0LPNphGEDt8YWpA,,HELLO FROM TUNISI,329,5:29,1596107231819206,329856
Mark Ho,UCOmqaDCdDO_qX1YmKl_r9AA,,Ya,330,5:30,1596107232189982,330227
Bianca Millora,UCXeDi5YXM-vSzVhseG5C0VA,,hey,330,5:30,1596107232605836,330643
HT,UCYQ-6voTLk63djnEI8XXiXg,,hi,331,5:31,1596107235292809,331864
PB Ki Vines,UCTXh2s9pXeHK1WwebbpYbxQ,,india,331,5:31,1596107235396684,331968
Shubham Rathor,UCp5kz29uim5h2lJIfUgRQcA,,hi from India,331,5:31,1596107235411474,331982
MAD MAX,UCXhTHSjFPQODEYc8hMfYGwA,,IKMKB,332,5:32,1596107235517491,332088
