author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
Power Clan,UCsVP8ngtz7Qj3UHHgfbN5JA,,POG,43,0:43,1597516964747210,43428
Lovely Dreams Microwave,UCCXUQQk7BGl9caD1XfvPwFQ,,WOOOOOOO,43,0:43,1597516964828372,43509
lil Weeb,UCVoKP3MSHwIFO2dabEM6W2g,,Hi,43,0:43,1597516964880348,43561
Not Joxkz,UCdyPbflpSMAsyD44wFxbmMw,,Heyyyyy,43,0:43,1597516964932397,43613
Haunted,UCuaBI-hqLFFpyy1Q_m5zE5w,,hey pig boi,43,0:43,1597516964962738,43644
Uchenna Ezekwesili,UCaL7aQ3w7qOcenhr2Ghg2Zg,,BLOOD FOR BLOOD GOD,43,0:43,1597516964973602,43654
꧁A genderless donut꧂,UCCB0HlUZcfOn8gkL5Ce67RQ,,AYYYYYYYY,43,0:43,1597516965171886,43853
Seby T.,UCh6znmKfuHV1qhLPXZlfl0w,,Pog,44,0:44,1597516965348434,44029
A R,UC6RNJuTRMHyOx__UfHuvrKA,,techno support,46,0:46,1597516967695732,46284
stan the dream team for clear skɪn,UCc4Ncm9MWaRQyPq0C8HGZFQ,,yoooo,46,0:46,1597516967903359,46492
Communist Dog,UCm_1nF9KLHsIsgbO5fzdazQ,,ITS HAPPENING,46,0:46,1597516968015225,46604
Macknificent 101,UC-gxUEO3bSYPjKV_giAuHjA,,TECHNO SUPPORT IS HERE!!!!!!,46,0:46,1597516968033582,46622
Baby Yoda,UClPFejn_E0ToC7iobNUQ4iA,,OHHHHHHHH,46,0:46,1597516968057203,46646
