author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
EGG-games,UCtMDwT3Ai3hcfFV7JYPz1Lg,,💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚DREAM!!!!!!!!,670,11:10,1598724803526424,670337
Ib YT,UCCaCr-qB7A9s7Mhe2J_CRLQ,,Dream team,670,11:10,1598724803702340,670513
Kailyn Boyd-Barnes,UCH0YgFUpCaWLv52C5snGynQ,,dream,670,11:10,1598724803859032,670670
LoveAlwaysLeslieann,UCPwr4SdW6dXLo8FIsWdhzYQ,,Team dream,670,11:10,1598724803879004,670690
Cam Gameing,UC4EiJs3rnGFI5zdNcM072jw,,​​❤TECHNOSUPPORT ❤,670,11:10,1598724803927251,670738
࿐༒нoᴘᴘᴇʀ༒༉ Oof,UCXL_3oSMDWWXgU8dwE2v9EQ,,DREAM SUPPORT 💚💚💚💚💚💚💚,670,11:10,1598724803965934,670777
ZombieNW,UCUcsNSlibCUVYKtCa6uHFMg,,💚,670,11:10,1598724804009307,670820
Mineluke,UC2KIpe8yRW9nE5o4y4cZ3sw,,💚💚💚💚TEAM DREAM💚💚💚💚,671,11:11,1598724804204853,671015
Thomas Morrill,UCiMjAaYj1HhF65eZW69Dl5w,,❤ TECHNOSUPPORT ❤,671,11:11,1598724804319095,671130
Precious,UCGTYZbSCahWYQecFX_K_pEA,,​❤️ TECHNO SUPPORT❤,671,11:11,1598724804411731,671222
Nickula,UCNPdVHXAJ8MhQzmnTaMt0cA,,​💚DREAM TEAM💚,671,11:11,1598724804417876,671228
Leticia Gutierrez,UCGWhSE0hgx7HoB7JnECJtUg,,Dream,671,11:11,1598724804466011,671277
Jenova Moon,UCQ-BLmYzWsEYfeptJ0HNNtw,,Dream have this,671,11:11,1598724804522531,671333
ShadowMC2,UCMNRANoVrtFHgaKMzBR1cTQ,,TECHNO IS C H O K I N G,671,11:11,1598724804740863,671551
Victoria B,UCaUx7I9HLZIXnDrg_RCtyqw,,DREAM,671,11:11,1598724804768502,671579
Precious,UCGTYZbSCahWYQecFX_K_pEA,,​❤️ TECHNO SUPPORT❤,671,11:11,1598724804914484,671725
AntiPlastic,UCL5Iy5dNHh1LUahW1AnvbXQ,,TECHNO,671,11:11,1598724805016997,671828
