author,time_in_seconds,time_text,timestamp,author_id,amount,message,ticker_duration,video_offset_time_msec,header_color,body_color
Zaczac111,84,1:24,1600376558942308,UCZJJae5lG2jdrtJopbo32Ng,$5.00,Time to shrimp fellow Chumbuds.,,84846,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Zaczac111,84,1:24,1600376558942308,UCZJJae5lG2jdrtJopbo32Ng,$5.00,Time to shrimp fellow Chumbuds.,120,84846,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
穴熊ま〜,85,1:25,1600376512078537,UCwmlBYQOgLjpdV9pA9CFfnA,¥500,a,,85138,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
穴熊ま〜,85,1:25,1600376512078537,UCwmlBYQOgLjpdV9pA9CFfnA,¥500,a,120,85138,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Aurelion Smol,85,1:25,1600376530064773,UC1hn6BOgCn4cEX1Qu15PhCQ,PHP 250.00,Shrimp for the Best Shark,,85933,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Aurelion Smol,85,1:25,1600376530064773,UC1hn6BOgCn4cEX1Qu15PhCQ,PHP 250.00,Shrimp for the Best Shark,300,85933,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Hooded Shirts,86,1:26,1600376513513348,UCZ1nuoH-Fn3ncJIfrs2DbDQ,$10.00,🦈 See you in a couple weeks at ONE MILLION CHUMBUDS! 🦈,,86674,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Hooded Shirts,86,1:26,1600376513513348,UCZ1nuoH-Fn3ncJIfrs2DbDQ,$10.00,🦈 See you in a couple weeks at ONE MILLION CHUMBUDS! 🦈,300,86674,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Diego Becerra,89,1:29,1600376516291299,UCBrPIuzX0cnr7b_WuIyrUbg,"CLP 2,500",a.,,89492,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Diego Becerra,89,1:29,1600376516291299,UCBrPIuzX0cnr7b_WuIyrUbg,"CLP 2,500",a.,120,89492,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Amy cupcakevice,89,1:29,1600376516547190,UCLaBBKFpuFKqbpg77gE5Zww,£2.00,I wish you and bloop many happies!,,89701,"{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}","{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}"
SimplyBB,89,1:29,1600376528889465,UCBUoYdm7HwFLlOP7GjZVbOg,$10.00,a 🦈🦈🦈,,89847,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
SimplyBB,89,1:29,1600376528889465,UCBUoYdm7HwFLlOP7GjZVbOg,$10.00,a 🦈🦈🦈,300,89847,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
necronii,89,1:29,1600376540387529,UCnx7FFmKIia0ELJ0qj0FqNA,$5.00,CHUMBUDDIES RISE UP,,89874,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
necronii,89,1:29,1600376540387529,UCnx7FFmKIia0ELJ0qj0FqNA,$5.00,CHUMBUDDIES RISE UP,120,89874,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
