author,time_in_seconds,time_text,timestamp,author_id,amount,message,ticker_duration,video_offset_time_msec,header_color,body_color
Oofstein,38,0:38,1600376465364865,UCmvS_UM9aQlfpaQ6pkikIoQ,CA$5.00,we love you ❤❤,,38515,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Oofstein,38,0:38,1600376465364865,UCmvS_UM9aQlfpaQ6pkikIoQ,CA$5.00,we love you ❤❤,120,38515,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
LANFlair,40,0:40,1600376483344257,UCVRNlOwe2W_HqKX5C2QI38w,$5.00,Congrats apex predator! Shaaaaark! a,,40899,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
LANFlair,40,0:40,1600376483344257,UCVRNlOwe2W_HqKX5C2QI38w,$5.00,Congrats apex predator! Shaaaaark! a,120,40899,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
霧雨理沙,42,0:42,1600376479908893,UCN9dizHm6htkBnaxBJOpIig,"¥1,000",A,,42199,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
霧雨理沙,42,0:42,1600376479908893,UCN9dizHm6htkBnaxBJOpIig,"¥1,000",A,300,42199,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Андрей Озеров,43,0:43,1600376483119560,UCrv-_JaX4zvmPHeWC_WUT_w,RUB 100.00,a,,43959,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Андрей Озеров,43,0:43,1600376483119560,UCrv-_JaX4zvmPHeWC_WUT_w,RUB 100.00,a,120,43959,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Kiet Doan,45,0:45,1600376482875941,UCA38rczxByO0C7qq43M4xKA,$5.00,Shrimp,,45964,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Kiet Doan,45,0:45,1600376482875941,UCA38rczxByO0C7qq43M4xKA,$5.00,Shrimp,120,45964,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Boppin' - ボッピン,46,0:46,1600376483149096,UCRq_M9woIuHJrseeoZCFsFQ,CA$10.00,Congrats on 300k Gura! Here's some shrimp funds!,,46601,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Boppin' - ボッピン,46,0:46,1600376483149096,UCRq_M9woIuHJrseeoZCFsFQ,CA$10.00,Congrats on 300k Gura! Here's some shrimp funds!,300,46601,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Luke,46,0:46,1600376483738052,UCRDJQpcerPqSBLku8KOI5mg,CA$10.00,Shrimpin' time,,46973,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Luke,46,0:46,1600376483738052,UCRDJQpcerPqSBLku8KOI5mg,CA$10.00,Shrimpin' time,300,46973,"{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}"
Aleksander Eskanochavich,48,0:48,1600376475220544,UCmaBmzL13Z4MY6yGdiUQJLQ,$4.99,For the best shark,,48493,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
Aleksander Eskanochavich,48,0:48,1600376475220544,UCmaBmzL13Z4MY6yGdiUQJLQ,$4.99,For the best shark,120,48493,"{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}"
