timestamp,ticker_duration,time_text,author,body_color,header_color,amount,time_in_seconds,message
1595761195365872,,0:51,Vicchi,"{'rgba': [230, 33, 23, 255], 'hex': '#e62117ff'}","{'rgba': [208, 0, 0, 255], 'hex': '#d00000ff'}",$100.00,51,"You're going to drop a superchat, right Kenzoku bro?"
1595761195365872,3600,0:51,Vicchi,"{'rgba': [230, 33, 23, 255], 'hex': '#e62117ff'}","{'rgba': [208, 0, 0, 255], 'hex': '#d00000ff'}",$100.00,51,"You're going to drop a superchat, right Kenzoku bro?"
1595761196053510,,0:51,網戦士ネッティングさん,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",¥250,51,トワ様3D化おめでとうぅぅぅぅぅぅ！！！🎉🎉🎉
1595761197489404,,0:53,くろねこ,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,000",53,3Dおめでとうございます🎉
1595761197489404,300,0:53,くろねこ,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,000",53,3Dおめでとうございます🎉
1595761198055336,,0:53,BlackHeart,"{'rgba': [230, 33, 23, 255], 'hex': '#e62117ff'}","{'rgba': [208, 0, 0, 255], 'hex': '#d00000ff'}",$108.39,53,🎉トワ様3Dおめでとうございます。🎊:_トワ様いえーい:今日は大事な日ですね！気にせず頑張れば大丈夫です。私たちはあなたを見守り応援しています。Towa−sama GOGOGO :_ビビフレフレ: You Can do it! Family is here 👾:_トワ文字:-samaaaaaaa:_ビビフレフレ::_ビビフレフレ::_ビビフレフレ:
1595761198055336,3600,0:53,BlackHeart,"{'rgba': [230, 33, 23, 255], 'hex': '#e62117ff'}","{'rgba': [208, 0, 0, 255], 'hex': '#d00000ff'}",$108.39,53,🎉トワ様3Dおめでとうございます。🎊:_トワ様いえーい:今日は大事な日ですね！気にせず頑張れば大丈夫です。私たちはあなたを見守り応援しています。Towa−sama GOGOGO :_ビビフレフレ: You Can do it! Family is here 👾:_トワ文字:-samaaaaaaa:_ビビフレフレ::_ビビフレフレ::_ビビフレフレ:
1595761198441112,,0:54,パチンカスNooooモップ,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,220",54,トワ様3D化おめでとうございます(っ´∀`)っ🍵
1595761198441112,300,0:54,パチンカスNooooモップ,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}","¥1,220",54,トワ様3D化おめでとうございます(っ´∀`)っ🍵
1595761202824658,,0:58,Daniel Quiejú,"{'rgba': [30, 136, 229, 255], 'hex': '#1e88e5ff'}","{'rgba': [21, 101, 192, 255], 'hex': '#1565c0ff'}",GTQ 7.00,58,
1595761204275994,,0:59,彰[akira],"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}","¥5,000",59,3Dおめでとうございます！
1595761204275994,1800,0:59,彰[akira],"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}","¥5,000",59,3Dおめでとうございます！
1595761216589902,,1:00,MrRedCheeks,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",$50.00,60,:_トワ様キラキラ::_トワ様キラキラ::_トワ様キラキラ::_トワ様キラキラ:
1595761216589902,1800,1:00,MrRedCheeks,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",$50.00,60,:_トワ様キラキラ::_トワ様キラキラ::_トワ様キラキラ::_トワ様キラキラ:
