amount,author,author_id,badges,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
,Lucas,UChFhULVJshEziwk8iqxC62g,,,,Is anyone else actually surprised techno is doing his job,,104,1:44,1597517025559698,104227
,Guty Gamer,UC1pBjJuWXrEd1wE-FUVhozQ,,,,Techno plane,,104,1:44,1597517025579679,104247
,Kermit The Froggy Elite,UCfqll7lMgfk1AASVjgLZySw,,,,SMALL SCREEN,,104,1:44,1597517026172361,104839
,Jade P.J.C.C,UCawd5e2zYevdyS1AnBBPPUA,,,,IM WATCHING THIS DREAM'S AND CXLVXN'S STREAM,,105,1:45,1597517026426264,105093
,Haley,UC324xVtUeGOcJ5kuzlqbuyg,,,,wow dream RUDE omg,,105,1:45,1597517026434038,105101
,Positive Energy,UCdesz5Egok6AD_e1eYQYEXw,,,,DREAM!,,105,1:45,1597517027057710,105755
,Your Breakfast,UCYJVvmwlT1bryQA-ASKMQPQ,,,,HI,,105,1:45,1597517027087309,105784
,Default Soop,UCPbTxl9gYOV09ni5RJOdu2Q,,,,late,,105,1:45,1597517027116212,105813
,Bee King,UC7GXREzvibVbdd3dtH3xSjg,,,,LATE,,105,1:45,1597517027152915,105850
,Mea Pea,UCKnkPSlO9GarliytALPhT_A,,,,BLOOD FOR THE BLOOD GOD,,105,1:45,1597517027230727,105928
,Ahmad Basim,UCiqW64E5OwwwDbcwzm8C2gA,,,,Late,,106,1:46,1597517027487147,106184
,CRVA gaming,UCM4iokvZqQeY107zEvvK2mQ,,,,LAtE,,106,1:46,1597517027575251,106272
,Sleep Paralysis Demon,UCO68aTRPJmyW8lxoYZ6UDCQ,,,,LATE,,106,1:46,1597517027775460,106472
